ID,time,event,Death_Causes,Density,RoadBuild,LocCore,Age_F,Age_M,Conf2,Conf1,TimePres,Moose,Country,LocEast,F_male ,F_female,F
80,1,1,3,1.771807628,-0.281324688,-0.647182541,0.94354551,1.252476569,0.326885196,-0.305937803,1.063815869,0.413284888,3,0.628005854,0.742127685,-0.029976362,0.034818899
81,1,1,2,1.065763335,-1.835052357,1.838194167,-0.655390394,-1.013032519,1.275687719,-0.708370787,-0.837267118,-0.889716425,3,-1.314441637,0.413400232,0.582346095,0.164088858
82,1,1,0,-0.346325249,1.396371164,-0.359890063,-1.05512437,-1.013032519,-1.187112518,-1.00394856,-0.893094678,-0.301437745,3,-0.152477842,0.446276344,0.77187476,0.185859346
83,1,0,0,0.359719043,-0.956723558,-0.589501038,-1.05512437,-1.013032519,0.865463793,1.371382793,-0.602000577,0.790120333,3,-0.58555363,-2.588962957,0.419056922,-1.641631668
83,2,0,0,1.771807628,-0.775752611,-0.744215886,-0.655390394,-0.559930702,1.512157379,1.529863398,0.097555411,1.439665049,3,-0.520471271,-2.588962957,0.419056922,-1.641631668
84,1,0,0,-1.052369541,1.206530946,0.48646119,-0.255656418,-0.559930702,-0.063737708,0.689232442,1.422598429,-0.91416989,3,1.593174359,-0.082423142,-0.213676683,1.616561693
85,1,1,0,-1.052369541,-2.078299739,2.800863748,0.94354551,-0.559930702,-0.18056833,-1.665715468,-0.898363609,-0.226903006,3,-1.223475423,-0.041333613,1.876990853,-0.219785112
86,1,0,0,-0.346325249,-0.591229077,0.277487315,-0.655390394,-0.559930702,1.520169794,-0.94133869,-1.250667713,1.534859108,1,-1.280828176,0.4353139,-0.315732416,-0.304653116
86,2,1,2,-0.346325249,-0.450677478,0.162950969,-0.255656418,-0.106828884,1.277943317,-0.912770524,-0.947355342,1.382553742,1,-1.24804043,0.4353139,-0.315732416,-0.304653116
87,1,0,0,-1.052369541,-0.223355839,0.479480325,-0.255656418,0.799374752,1.279734828,-0.94416616,-0.484407247,0.726518646,1,-1.263855156,0.4353139,0.337412335,0.518197529
87,2,1,0,-1.052369541,-0.206153181,0.588512474,0.144077558,1.252476569,1.451653032,-1.001678216,-0.155547033,0.813934792,1,-1.307423064,0.4353139,0.337412335,0.518197529
88,1,1,2,-0.346325249,0.5131585,0.69670621,-0.255656418,1.252476569,-0.608591458,0.043987522,1.39855793,-0.114688491,3,1.734669714,1.881716936,-0.175768561,-0.280336588
89,1,0,0,0.359719043,-0.720630156,-0.325709505,-0.255656418,1.705578387,1.110523721,0.659967355,0.22697349,-1.208304141,3,1.1949162,1.881716936,-0.169940217,-0.219785112
